Experiment,Preprocessing,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,lemmatization,4,25011,4.121433792000005,1.7958819169999742,0.02775095900000224,0.9560029828486204,0.8666666666666667,0.9829351535836177,0.7692307692307693,0.8950393806290022,0.9672544080604534,0.9829351535836177,0.9750317393144308,0.8666666666666667,0.7692307692307693,0.8150470219435737,3456,60,117,390
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,lemmatization,5,25011,4.179742791000024,1.8003398750000201,0.03915562500003489,0.9547488811536549,0.8584070796460177,0.981797497155859,0.766798418972332,0.8921682143094944,0.9669467787114846,0.981797497155859,0.9743155517922665,0.8584070796460177,0.766798418972332,0.8100208768267223,3452,64,118,388
E6_Add_Sentiment,lemmatization,1,25015,5.5501615000000015,1.705333875000008,0.02819275000001653,0.947800149142431,0.8259911894273128,0.9775376741541086,0.741106719367589,0.8758070491109229,0.9632950406276268,0.9775376741541086,0.9703640982218459,0.8259911894273128,0.741106719367589,0.78125,3438,79,131,375
E6_Add_Sentiment,lemmatization,2,25015,5.603332207999983,1.6634040419999678,0.0270106670000132,0.9540144171016655,0.85,0.9803754266211604,0.7712031558185405,0.8912765125391632,0.9674431658714566,0.9803754266211604,0.9738663653058341,0.85,0.7712031558185405,0.8086866597724922,3447,69,116,391
E6_Add_Sentiment,lemmatization,3,25015,5.482597916999964,1.6182717500000194,0.0386899580000204,0.9485458612975392,0.8205128205128205,0.9761092150170648,0.757396449704142,0.8792089031036846,0.9654008438818565,0.9761092150170648,0.9707254985150615,0.8205128205128205,0.757396449704142,0.7876923076923077,3432,84,123,384
E6_Add_Sentiment,lemmatization,4,25015,5.493904708000002,1.622678583000038,0.02787887499999897,0.9547601292567736,0.8735632183908046,0.9843572241183163,0.7495069033530573,0.8905873429161646,0.9646042363433668,0.9843572241183163,0.9743806306306306,0.8735632183908046,0.7495069033530573,0.8067940552016986,3461,55,127,380
E6_Add_Sentiment,lemmatization,5,25015,5.507587041000022,1.6329262500000254,0.03701370900000711,0.9552461461959224,0.8671171171171171,0.9832195676905574,0.7608695652173914,0.8925763803362368,0.9661822247065399,0.9832195676905574,0.9746264448829998,0.8671171171171171,0.7608695652173914,0.8105263157894737,3457,59,121,385
E7_Full_Feature_Configuration,lemmatization,1,25022,11.343303416999959,1.5848149579999813,0.026081209000039962,0.9482972905791698,0.8311111111111111,0.9783906738697754,0.7391304347826086,0.8765448418716915,0.963056255247691,0.9783906738697754,0.9706629055007052,0.8311111111111111,0.7391304347826086,0.7824267782426778,3441,76,132,374
E7_Full_Feature_Configuration,lemmatization,2,25022,11.321298167000009,1.6729417500000068,0.03975687500002323,0.9535172756649267,0.8493449781659389,0.9803754266211604,0.7672583826429981,0.8899044586220295,0.9669004207573633,0.9803754266211604,0.9735913006637481,0.8493449781659389,0.7672583826429981,0.8062176165803109,3447,69,118,389
E7_Full_Feature_Configuration,lemmatization,3,25022,11.34093620799996,1.6215557499999704,0.027045250000014676,0.9495401441710166,0.8220338983050848,0.9761092150170648,0.7652859960552268,0.8819602482759139,0.966488313151225,0.9761092150170648,0.9712749398613273,0.8220338983050848,0.7652859960552268,0.7926455566905005,3432,84,119,388
E7_Full_Feature_Configuration,lemmatization,4,25022,11.380318250000016,1.679030124999997,0.0388458749999927,0.9552572706935123,0.8690744920993227,0.9835039817974972,0.7593688362919132,0.8925799560909037,0.9659217877094972,0.9835039817974972,0.9746335963923337,0.8690744920993227,0.7593688362919132,0.8105263157894737,3458,58,122,385
E7_Full_Feature_Configuration,lemmatization,5,25022,11.339760667000007,1.6123516250000307,0.02583595900000546,0.9540029835902536,0.8606741573033708,0.9823663253697383,0.7569169960474308,0.889692937884139,0.9656136427173609,0.9823663253697383,0.9739179472719582,0.8606741573033708,0.7569169960474308,0.8054679284963197,3454,62,123,383
